Date,Close,Volume
2022-09-27,149.401611328125,84442700
2022-09-28,147.511474609375,146691400
2022-09-29,140.2658233642578,128138200
2022-09-30,136.05235290527344,124925300
2022-10-03,140.23631286621094,114311700
2022-10-04,143.82957458496094,87830100
2022-10-05,144.12490844726562,79471000
2022-10-06,143.16998291015625,68402200
2022-10-07,137.91299438476562,85925600
2022-10-10,138.23788452148438,74899000
2022-10-11,136.8202362060547,77033700
2022-10-12,136.19017028808594,70433700
2022-10-13,140.76791381835938,113224000
2022-10-14,136.2295684814453,88598000
2022-10-17,140.1969451904297,85250900
2022-10-18,141.51608276367188,99136600
2022-10-19,141.6243896484375,61758300
2022-10-20,141.16171264648438,64522000
2022-10-21,144.9813995361328,86548600
2022-10-24,147.12753295898438,75981900
2022-10-25,149.97264099121094,74732300
2022-10-26,147.02908325195312,88194300
2022-10-27,142.54978942871094,109180200
2022-10-28,153.3197784423828,164762400
2022-10-31,150.95706176757812,97943200
2022-11-01,148.3088836669922,80379300
2022-11-02,142.77621459960938,93604600
2022-11-03,136.7218017578125,97918500
2022-11-04,136.45556640625,140814800
2022-11-07,136.98800659179688,83374600
2022-11-08,137.55996704101562,89908500
2022-11-09,132.99432373046875,74917800
2022-11-10,144.8274688720703,118854000
2022-11-11,147.61810302734375,93979700
2022-11-14,146.21788024902344,73374100
2022-11-15,147.9534149169922,89868300
2022-11-16,146.7207794189453,64218300
2022-11-17,148.6239471435547,80389400
2022-11-18,149.18600463867188,74829600
2022-11-21,145.95162963867188,58724100
2022-11-22,148.0914306640625,51804100
2022-11-23,148.9690704345703,58301400
2022-11-25,146.0502166748047,35195900
2022-11-28,142.21432495117188,69246000
2022-11-29,139.20672607421875,83763800
2022-11-30,145.97132873535156,111380900
2022-12-01,146.24742126464844,71250400
2022-12-02,145.75439453125,65447400
2022-12-05,144.5908203125,68826400
2022-12-06,140.92251586914062,64727200
2022-12-07,138.97994995117188,69721100
2022-12-08,140.6661834716797,62128300
2022-12-09,140.1829833984375,76097000
2022-12-12,142.48056030273438,70462700
2022-12-13,143.44692993164062,93886200
2022-12-14,141.21836853027344,82291200
2022-12-15,134.6016845703125,98931900
2022-12-16,132.6393585205078,160156900
2022-12-19,130.5291290283203,79592600
2022-12-20,130.4601287841797,77432800
2022-12-21,133.56629943847656,85928000
2022-12-22,130.39108276367188,77852100
2022-12-23,130.02618408203125,63814900
2022-12-27,128.22164916992188,69007800
2022-12-28,124.28716278076172,85438400
2022-12-29,127.80751037597656,75703700
2022-12-30,128.12306213378906,77034200
